movie,title,rate,author,date,content,label
theBeach,Do not miss this movie just because of its low rating,10/10,icysky44,5/7/2005,"Recently a friend of mine watched ""The Beach"" after I told him my favorite quote (i.e. ""Never refuse an invitation, never resist the unfamiliar, never cease to be polite, and never outstay your welcome""). He enjoyed the movie a whole lot and told me he hadn't watched it before because of it's low IMDb rating. That's when I decided to register here and post a comment - I hope I help someone else to watch the movie because it is worth a watch. What I personally like so much about this movie is that it is not just plain vanilla. It actually makes sense and can be a starting point for new thoughts and ideas - something I truly appreciate in a movie.
539 out of 641 found this helpful. Was this review helpful? Sign in to vote.
Permalink",pos
theBeach,The Beach WILL NOT DIE TODAY,8/10,ecwjedi,14/6/2005,"The Beach is interesting in that some people feel that its terrible while there are others who feel that it is an unsung hero of a movie. When I first saw The Beach, back in 2000, I thought it was OK, not as bad as most people said it was. But, just like with A Life Less Ordinary, The Beach grew on me and I had to watch it again. After seeing it a few more times I really started to pick up on what was going on and realized that at the end of the film the viewer has gone through quite an adventure with Dicaprio and co. The acting, cinematography, music, and story are great and hold up after repeat viewings. The Beach is one of those movies that I watch once a year as its enjoyability never decreases. This is a very solid film that will no doubt only increase in its popularity as time goes by as fans of The Beach are quite hardcore. Even though Dany Boyle has said that he is not very proud of The Beach I believe that he's made a gross error and misjudged his work because even after all these years The Beach still has a freshness to it that most films lose while they are still in the theaters. Because of these reasons The Beach will not die today.",pos
theBeach,Unfairly Panned; A Good Movie,9/10,ccthemovieman-1,25/10/2006,"Here is another of those films that got panned by critics all over the place, but I liked the movie and thought it was unfairly criticized.

Two things are not up for debate: the film is entertaining and the cinematography is gorgeous.

Leonardo DiCaprio's lead character is not particularly likable, but that's nothing new for him. He's good at playing the boyish, cocky immature type. He's also good at narration, which he provides here, as he has in a number of other films. In fact, I wish there were more of it in here.

French actress Virginie Ledoyen is a new face to me, and a pretty one. I found her intriguing, and not just because of her face Actually, all the characters were pretty darn interesting in this film and you get a varied group.

The scenery from Thailand is magnificent. By the way, ""the beach"" that's in this film really exists, just as it's seen here. The story is interesting, too, for the full two hours. My only complaint was that they might have toned down the language, particularly with all the f-words.

Don't listen to those national critics who blasted this. I think you'll be entertained.",pos
theBeach,"Pretty good, despite all the bad reviews I've read",7/10,stamper,4/6/2000,"I went to this one, knowing that it could be crap, but hey, I do not care what others think and once again this way of thinking did not prove me wrong.

This flick is basically about a young twenty who goes away on a trip to Thailand by himself, because he wants to forget his past. There he meets a loony (Robert Carlyle) who gives him a map to a secret paradise. He asks two strangers, Françoise (Virginie Ledoyen who was really great in her first big American Film and good looking too by the way) and Etienne (Guillaume Canet) to come and join them.

After they have found the island they meet an alternative group who lives there and they join them, but after a while problems evolve and a minor 'hell' breaks loose.

This is the plain story-line of the movie, but there is so much more to it, it has a message and that really is what fascinated me a lot in the beginning and at the end. There was a good story there, but the way it was brought over, never really losing the actual message out of sight. Now believe me the direction, the soundtrack and the cast are good. There also is a bit gore, but it fits good in the movie and is not unnecessary.

Yet this film is not flawless, it was good entertainment over all, yes and it was very good in the beginning and in the end, but in the middle when Richard (Leonardo DiCaprio) loses it, so does the film and that is a shame. It is just too weird, too long and too incomprehensible (in the sense that the viewer himself doesn't know if it is real or not). It could have been so much better, but I guess it had to be.

NO MUST SEE BUT DEFINATELY WORTH A TRIP TO THE VIDEOSTORE OR TO THE CINEMA AT A DISCOUNT!!!!!!!!

7 out of 10

P.S. Don't agree?????, sue me!!!!!!!!!!! or mail me (see above)",pos
theBeach,"If you travel, you'll understand",8/10,emilyzongqi37,12/2/2011,"When you travel, you are surrounded by people. Amidst all that foreign intrigue, you are truly alone - an opportunity to be truthful to your instincts.

When you are young and you travel, recklessness and the need to experience drive almost all your decision, well other than budgetary constraints.

It is therefore quite truthful at times to relate to the character who is in search of this ultimate freedom, a place where all your worldly obligations are suspended and irrelevant.

The movie is an irony. Not only externally, that though it depicts the end purity of nature when fox's being sued for environmental damage, but also that any man-found paradise is not free, but with a price and in this case, could be the ultimate price.

I truly enjoyed the movie especially at times the sparks of life's insight and moments of traveller's consciousness that when you are there, in that destination, IT becomes reality and no longer are you foreign and problems arise regardless.

Though the romance is distracting, Etienne, Canet's portrayal is quite the eye candy.

Definitely a watch, but may not appeal to all tastes.",pos
theBeach,Why did it get such bad reviews here?,8/10,MossMan,4/12/2001,"This is one of the few times that I have been badly mislead by the reviews on IMDb! I avoided this film in the past because of this, but thought it would be a good ""soft"" film to watch on video with with a friend and his wife (she doesn't like difficult films).

What a revelation! I understand that people who have read the book may be disappointed, but as an uneducated viewer this is a fantastic film! Novel situation, novel location (beautiful images, even though the beach was re-modeled), novel plot, novel characters (all of whom are wildly different yet possible to sympathise with - except maybe for Bugs)... this film has everything in it that I find so desperately lacking in the average Hollywood pulp I'm forced to watch with friends.

And I *liked* the fact that the film made a few surprising changes in style... I hate knowing the end of a story at least an hour before it finally grinds its inevitable way there (see any ""action"" film).",pos
theBeach,An amazing film,10/10,spyqueen,12/2/2000,"Danny Boyle did an exquisite job on this film. When I first learned that it was indeed a Danny Boyle film I was a bit disappointed that it didn't have any of his ""original"" cast members... the people that he always works with. When I learned that Robert Carlyle was in this, I was ecstatic. This film has so many wonderful points, I can't list them all. I'm just going to say that ""enjoy your dinner Richard"" was a classic cinematic moment. A great thing about this film is that it's a wonderful representation of a microcosm of todays society. It shows that no matter how hard you try to escape all the wrongs in life, and all of your daily annoyances, they'll still be there no matter where you escape to. This film doesn't go from beginning to end. It circles. There is no ending because their lives didn't end. Truly a supreme film. It is what one should expect from a man like Danny Boyle. Leonardo DiCaprio gives another amazing performance. It takes a wonderful actor to be able to portray an emotion such as insanity just with his eyes, and he did so wonderfully!
94 out of 152 found this helpful. Was this review helpful? Sign in to vote.
Permalink",pos
theBeach,Very good,10/10,atzimo,27/10/2002,"I'll be brief. I didn't want to watch 'The Beach' because of the bad reviews, but when I accidentally came across it while surfing through the channels, I couldn't stop watching.

If you're young and have a thing for interesting stories, you'll love this one.

10/10
131 out of 232 found this helpful. Was this review helpful? Sign in to vote.
Permalink",pos
theBeach,Read the Book,1/10,cat-12,20/2/2000,"Well - Where do I start... A classic story written by Alex Garland - Destroyed by Danny Boyle & co. It would take a long time to pick my way through the debris of this particular shambles so I shall narrow it down to what I see as the main critical flaws that sank Leo's latest water borne epic 1. The movie has been aimed squarely at a teen market hence you get style over content - The beautiful people in paradise hanging out with a highly commercial soundtrack and a Top Shop tie in on the fashion side

2. The removal of the deep cynicism evident in Garlands novel - Read the book - you will find it very hard to find a sympathetic character.

3. Richards(Leo) fascination with the whole 'Nam pop culture - this is throw in as an afterthought in the last 25 minutes of the film(apart from a fleeting glimpse of Apocalypse Now in the opening reel)and falls completely flat - what we get is comical( check out Leo as he does his best Cat. Willard impressions - hilarious!

4. The love interest. Okay - this I can understand purely for its commercial reasons - it has a bums on seats factor. But it damages a vital part of the book - Richard never gets it together with Francois let alone Sal hence there is an unspoken tension in the air which adds to Richards isolation and his descent into 'Nam paranoia. Enough! If you want the real experience read the book - if you want a very cheap facsimile go see Leo and the gang...3/10",neg
theBeach,An unpleasant and frustrating experience,4/10,masonmorgan-92917,29/11/2016,"Danny Boyle's The Beach was an awful viewing experience for me and thinking back on it is just as unpleasant, so naturally I don't want to spend a lot of time talking about it.

The reason that The Beach is so awful is because it is so pretentious and full of itself. It gives a painfully obvious and blatant expression on a social commentary that feels so forced.

The Beach is also extremely boring. I was patiently waiting for the movie to pick up, but after an hour of pure nothing, I gave up hope and assumed that the rest of the film would be just as uneventful. Sadly, I was right.

The Beach feels like a 2-hour long Expedia commercial. The music is cheap and terribly cheesy and the cinematography is sometimes interesting, but mostly just dull.

Leonardo DiCaprio did give an entertaining performance even though he did overact quite a bit. Tilda Swinton wasn't bad either, but the rest of the cast is just so forgettable and boring that it even weighs down these two characters. Robert Carlyle was one of the few redeemable aspects of The Beach. His character was utterly mad and it seemed that he loved playing this character, which made him a blast to watch.

The story is painfully slow. We have to endure long stretches of Leo's character expressing his obsession for a girl he barely knows, then we are suddenly treated to a horrifically graphic shark attack scene. The tone of The Beach is never established. Most of the movie is extremely depressing and generally uncomfortable to watch, but then the movie ends on a gleefully happy note as if nothing bad even happened.

The best way I can explain The Beach is that it is a confused, hyper mess of a film that tackles a social commentary so blatantly obvious that it comes off grossly pretentious. And any time Danny Boyle tries to have fun, it comes off as just awkward.

While The Beach does have a passionate cult following, I simply cannot find enjoyment in the film myself. It's dull, pretentious and just messy. I respect Danny Boyle as a film maker but I really don't know what he was hoping to achieve with this one. I'm just grateful that the whole experience was completely forgettable. Another trip to this mind- numbing ""paradise"" wouldn't be good for my sanity.",neg
